,NAICS_Code,NAICS,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
8,451,"Sporting goods, hobby, musical instrument, and book stores",4600,4485,4548,4628,4432,4609,4655,4738,4690,4769,4692,4940,55786,1996
9,722,Food services and drinking places,19564,19742,19862,19932,20094,19932,20145,20140,20397,20551,20789,20707,241855,1996
0,441,Motor vehicle and parts dealers,54010,54601,54233,53861,52191,54066,55255,55488,55334,54856,55314,55763,654972,1997
1,442,Furniture and home furnishings stores,5823,5847,5916,5968,6004,6034,6039,6146,6162,6154,6267,6290,72650,1997
2,443,Electronics and appliance stores,6128,6370,6360,6456,6400,6440,6525,6541,6559,6572,6628,6659,77638,1997
3,444,Building mat. and garden equip. and supplies dealers,15197,15561,15862,15709,15805,15918,15973,16027,16283,16232,16158,16356,191081,1997
4,445,Food and beverage stores,34049,33989,34156,34056,33978,33892,34106,34256,34281,34348,34230,34190,409531,1997
5,446,Health and personal care stores,9448,9649,9922,9578,9722,9916,9950,9989,10077,10058,10217,10201,118727,1997
6,447,Gasoline stations,16938,16984,16969,16613,16367,16378,16396,16682,16757,16711,16638,16536,199969,1997
7,448,Clothing and clothing access. stores,11513,11468,11623,11195,11413,11643,11735,11828,11845,11881,11936,12110,140190,1997
8,451,"Sporting goods, hobby, musical instrument, and book stores",4748,4666,4698,4725,4763,4838,4786,4745,4827,4878,5015,4915,57604,1997
9,722,Food services and drinking places,21110,21136,21171,21216,21230,21382,21689,21674,21986,21758,21504,21818,257674,1997
0,441,Motor vehicle and parts dealers,55494,54841,56135,57464,57882,59264,56320,54997,57196,59294,59817,60473,689177,1998
1,442,Furniture and home furnishings stores,6377,6342,6340,6369,6359,6426,6447,6444,6419,6504,6666,6687,77380,1998
